😀,嘿嘿
😁,嘻嘻
😂,笑哭了
😃,哈哈
😄,大笑
😅,苦笑
😆,斜眼笑
😇,微笑天使
😉,眨眼
😊,羞涩微笑
🙂,呵呵
🙃,倒脸
🤣,笑得满地打滚
🫠,融化
☺,微笑
😍,花痴
😗,亲亲
😘,飞吻
😙,微笑亲亲
😚,羞涩亲亲
🤩,好崇拜哦
🥰,喜笑颜开
🥲,含泪的笑脸
😋,好吃
😛,吐舌
😜,单眼吐舌
😝,眯眼吐舌
🤑,发财
🤪,滑稽
🤔,想一想
🤗,抱抱
🤫,安静的脸
🤭,不说
🫡,致敬
🫢,睁眼捂嘴
🫣,偷看
😏,得意
😐,冷漠
😑,无语
😒,不高兴
😬,龇牙咧嘴
😮‍💨,呼气
😶,沉默
😶‍🌫,迷茫
😶‍🌫️,迷茫
🙄,翻白眼
🤐,闭嘴
🤥,说谎
🤨,挑眉
🫥,虚线脸
🫨,摇晃的脸
😌,松了口气
😔,沉思
😪,困
😴,睡着了
🤤,流口水
😵,晕头转向
😵‍💫,晕
😷,感冒
🤒,发烧
🤕,受伤
🤢,恶心
🤧,打喷嚏
🤮,呕吐
🤯,爆炸头
🥴,头昏眼花
🥵,脸发烧
🥶,冷脸
🤠,牛仔帽脸
🥳,聚会笑脸
🥸,伪装的脸
😎,墨镜笑脸
🤓,书呆子脸
🧐,带单片眼镜的脸
☹,沮丧
😓,汗
😕,困扰
😖,困惑
😞,失望
😟,担心
😢,哭
😣,痛苦
😥,失望但如释重负
😦,啊
😧,极度痛苦
😨,害怕
😩,累死了
😫,累
😭,放声大哭
😮,吃惊
😯,缄默
😰,冷汗
😱,吓死了
😲,震惊
😳,脸红
🙁,微微不满
🥱,打呵欠
🥹,忍住泪水
🥺,恳求的脸
🫤,郁闷
☠,骷髅
👿,生气的恶魔
💀,头骨
😈,恶魔微笑
😠,生气
😡,怒火中烧
😤,傲慢
🤬,嘴上有符号的脸
👹,食人魔
👺,小妖精
👻,鬼
👽,外星人
👾,外星怪物
💩,大便
🤖,机器人
🤡,小丑脸
😸,微笑的猫
😹,笑出眼泪的猫
😺,大笑的猫
😻,花痴的猫
😼,奸笑的猫
😽,亲亲猫
😾,生气的猫
😿,哭泣的猫
🙀,疲倦的猫
🙈,非礼勿视
🙉,非礼勿听
🙊,非礼勿言
❣,心叹号
❤,红心
❤‍🔥,火上之心
❤‍🩹,修复受伤的心灵
❤️‍🔥,火上之心
❤️‍🩹,修复受伤的心灵
💌,情书
💓,心跳
💔,心碎
💕,两颗心
💖,闪亮的心
💗,搏动的心
💘,心中箭了
💙,蓝心
💚,绿心
💛,黄心
💜,紫心
💝,系有缎带的心
💞,舞动的心
💟,心型装饰
🖤,黑心
🤍,白心
🤎,棕心
🧡,橙心
🩵,浅蓝色的心
🩶,灰心
🩷,粉红色的心
👁‍🗨,眼睛对话框
👁‍🗨️,讲话泡泡中的眼睛
👁️‍🗨,讲话泡泡中的眼睛
👁️‍🗨️,讲话泡泡中的眼睛
💋,唇印
💢,怒
💤,睡着
💥,爆炸
💦,汗滴
💨,尾气
💫,头晕
💬,话语气泡
💭,内心活动气泡
💯,一百分
🕳,洞
🗨,朝左的话语气泡
🗯,愤怒话语气泡
✋,举起手
✋🏻,举起手: 较浅肤色
✋🏼,举起手: 中等-浅肤色
✋🏽,举起手: 中等肤色
✋🏾,举起手: 中等-深肤色
✋🏿,举起手: 较深肤色
👋,挥手
👋🏻,挥手: 较浅肤色
👋🏼,挥手: 中等-浅肤色
👋🏽,挥手: 中等肤色
👋🏾,挥手: 中等-深肤色
👋🏿,挥手: 较深肤色
🖐,手掌
🖐🏻,手掌: 较浅肤色
🖐🏼,手掌: 中等-浅肤色
🖐🏽,手掌: 中等肤色
🖐🏾,手掌: 中等-深肤色
🖐🏿,手掌: 较深肤色
🖖,瓦肯举手礼
🖖🏻,瓦肯举手礼: 较浅肤色
🖖🏼,瓦肯举手礼: 中等-浅肤色
🖖🏽,瓦肯举手礼: 中等肤色
🖖🏾,瓦肯举手礼: 中等-深肤色
🖖🏿,瓦肯举手礼: 较深肤色
🤚,立起的手背
🤚🏻,立起的手背: 较浅肤色
🤚🏼,立起的手背: 中等-浅肤色
🤚🏽,立起的手背: 中等肤色
🤚🏾,立起的手背: 中等-深肤色
🤚🏿,立起的手背: 较深肤色
🫱,向右的手
🫱🏻,向右的手: 较浅肤色
🫱🏼,向右的手: 中等-浅肤色
🫱🏽,向右的手: 中等肤色
🫱🏾,向右的手: 中等-深肤色
🫱🏿,向右的手: 较深肤色
🫲,向左的手
🫲🏻,向左的手: 较浅肤色
🫲🏼,向左的手: 中等-浅肤色
🫲🏽,向左的手: 中等肤色
🫲🏾,向左的手: 中等-深肤色
🫲🏿,向左的手: 较深肤色
🫳,掌心向下的手
🫳🏻,掌心向下的手: 较浅肤色
🫳🏼,掌心向下的手: 中等-浅肤色
🫳🏽,掌心向下的手: 中等肤色
🫳🏾,掌心向下的手: 中等-深肤色
🫳🏿,掌心向下的手: 较深肤色
🫴,掌心向上的手
🫴🏻,掌心向上的手: 较浅肤色
🫴🏼,掌心向上的手: 中等-浅肤色
🫴🏽,掌心向上的手: 中等肤色
🫴🏾,掌心向上的手: 中等-深肤色
🫴🏿,掌心向上的手: 较深肤色
🫷,向左推
🫷🏻,向左推: 较浅肤色
🫷🏼,向左推: 中等-浅肤色
🫷🏽,向左推: 中等肤色
🫷🏾,向左推: 中等-深肤色
🫷🏿,向左推: 较深肤色
🫸,向右推
🫸🏻,向右推: 较浅肤色
🫸🏼,向右推: 中等-浅肤色
🫸🏽,向右推: 中等肤色
🫸🏾,向右推: 中等-深肤色
🫸🏿,向右推: 较深肤色
✌,胜利手势
✌🏻,胜利手势: 较浅肤色
✌🏼,胜利手势: 中等-浅肤色
✌🏽,胜利手势: 中等肤色
✌🏾,胜利手势: 中等-深肤色
✌🏿,胜利手势: 较深肤色
👌,OK
👌🏻,OK: 较浅肤色
👌🏼,OK: 中等-浅肤色
👌🏽,OK: 中等肤色
👌🏾,OK: 中等-深肤色
👌🏿,OK: 较深肤色
🤌,捏手指
🤌🏻,捏手指: 较浅肤色
🤌🏼,捏手指: 中等-浅肤色
🤌🏽,捏手指: 中等肤色
🤌🏾,捏手指: 中等-深肤色
🤌🏿,捏手指: 较深肤色
🤏,捏合的手势
🤏🏻,捏合的手势: 较浅肤色
🤏🏼,捏合的手势: 中等-浅肤色
🤏🏽,捏合的手势: 中等肤色
🤏🏾,捏合的手势: 中等-深肤色
🤏🏿,捏合的手势: 较深肤色
🤘,摇滚
🤘🏻,摇滚: 较浅肤色
🤘🏼,摇滚: 中等-浅肤色
🤘🏽,摇滚: 中等肤色
🤘🏾,摇滚: 中等-深肤色
🤘🏿,摇滚: 较深肤色
🤙,给我打电话
🤙🏻,给我打电话: 较浅肤色
🤙🏼,给我打电话: 中等-浅肤色
🤙🏽,给我打电话: 中等肤色
🤙🏾,给我打电话: 中等-深肤色
🤙🏿,给我打电话: 较深肤色
🤞,交叉的手指
🤞🏻,交叉的手指: 较浅肤色
🤞🏼,交叉的手指: 中等-浅肤色
🤞🏽,交叉的手指: 中等肤色
🤞🏾,交叉的手指: 中等-深肤色
🤞🏿,交叉的手指: 较深肤色
🤟,爱你的手势
🤟🏻,爱你的手势: 较浅肤色
🤟🏼,爱你的手势: 中等-浅肤色
🤟🏽,爱你的手势: 中等肤色
🤟🏾,爱你的手势: 中等-深肤色
🤟🏿,爱你的手势: 较深肤色
🫰,食指与拇指交叉的手
🫰🏻,食指与拇指交叉的手: 较浅肤色
🫰🏼,食指与拇指交叉的手: 中等-浅肤色
🫰🏽,食指与拇指交叉的手: 中等肤色
🫰🏾,食指与拇指交叉的手: 中等-深肤色
🫰🏿,食指与拇指交叉的手: 较深肤色
☝,食指向上指
☝🏻,食指向上指: 较浅肤色
☝🏼,食指向上指: 中等-浅肤色
☝🏽,食指向上指: 中等肤色
☝🏾,食指向上指: 中等-深肤色
☝🏿,食指向上指: 较深肤色
👆,反手食指向上指
👆🏻,反手食指向上指: 较浅肤色
👆🏼,反手食指向上指: 中等-浅肤色
👆🏽,反手食指向上指: 中等肤色
👆🏾,反手食指向上指: 中等-深肤色
👆🏿,反手食指向上指: 较深肤色
👇,反手食指向下指
👇🏻,反手食指向下指: 较浅肤色
👇🏼,反手食指向下指: 中等-浅肤色
👇🏽,反手食指向下指: 中等肤色
👇🏾,反手食指向下指: 中等-深肤色
👇🏿,反手食指向下指: 较深肤色
👈,反手食指向左指
👈🏻,反手食指向左指: 较浅肤色
👈🏼,反手食指向左指: 中等-浅肤色
👈🏽,反手食指向左指: 中等肤色
👈🏾,反手食指向左指: 中等-深肤色
👈🏿,反手食指向左指: 较深肤色
👉,反手食指向右指
👉🏻,反手食指向右指: 较浅肤色
👉🏼,反手食指向右指: 中等-浅肤色
👉🏽,反手食指向右指: 中等肤色
👉🏾,反手食指向右指: 中等-深肤色
👉🏿,反手食指向右指: 较深肤色
🖕,竖中指
🖕🏻,竖中指: 较浅肤色
🖕🏼,竖中指: 中等-浅肤色
🖕🏽,竖中指: 中等肤色
🖕🏾,竖中指: 中等-深肤色
🖕🏿,竖中指: 较深肤色
🫵,指向观察者的食指
🫵🏻,指向观察者的食指: 较浅肤色
🫵🏼,指向观察者的食指: 中等-浅肤色
🫵🏽,指向观察者的食指: 中等肤色
🫵🏾,指向观察者的食指: 中等-深肤色
🫵🏿,指向观察者的食指: 较深肤色
✊,举起拳头
✊🏻,举起拳头: 较浅肤色
✊🏼,举起拳头: 中等-浅肤色
✊🏽,举起拳头: 中等肤色
✊🏾,举起拳头: 中等-深肤色
✊🏿,举起拳头: 较深肤色
👊,出拳
👊🏻,出拳: 较浅肤色
👊🏼,出拳: 中等-浅肤色
👊🏽,出拳: 中等肤色
👊🏾,出拳: 中等-深肤色
👊🏿,出拳: 较深肤色
👍,拇指向上
👍🏻,拇指向上: 较浅肤色
👍🏼,拇指向上: 中等-浅肤色
👍🏽,拇指向上: 中等肤色
👍🏾,拇指向上: 中等-深肤色
👍🏿,拇指向上: 较深肤色
👎,拇指向下
👎🏻,拇指向下: 较浅肤色
👎🏼,拇指向下: 中等-浅肤色
👎🏽,拇指向下: 中等肤色
👎🏾,拇指向下: 中等-深肤色
👎🏿,拇指向下: 较深肤色
🤛,朝左的拳头
🤛🏻,朝左的拳头: 较浅肤色
🤛🏼,朝左的拳头: 中等-浅肤色
🤛🏽,朝左的拳头: 中等肤色
🤛🏾,朝左的拳头: 中等-深肤色
🤛🏿,朝左的拳头: 较深肤色
🤜,朝右的拳头
🤜🏻,朝右的拳头: 较浅肤色
🤜🏼,朝右的拳头: 中等-浅肤色
🤜🏽,朝右的拳头: 中等肤色
🤜🏾,朝右的拳头: 中等-深肤色
🤜🏿,朝右的拳头: 较深肤色
👏,鼓掌
👏🏻,鼓掌: 较浅肤色
👏🏼,鼓掌: 中等-浅肤色
👏🏽,鼓掌: 中等肤色
👏🏾,鼓掌: 中等-深肤色
👏🏿,鼓掌: 较深肤色
👐,张开双手
👐🏻,张开双手: 较浅肤色
👐🏼,张开双手: 中等-浅肤色
👐🏽,张开双手: 中等肤色
👐🏾,张开双手: 中等-深肤色
👐🏿,张开双手: 较深肤色
🙌,举双手
🙌🏻,举双手: 较浅肤色
🙌🏼,举双手: 中等-浅肤色
🙌🏽,举双手: 中等肤色
🙌🏾,举双手: 中等-深肤色
🙌🏿,举双手: 较深肤色
🙏,双手合十
🙏🏻,双手合十: 较浅肤色
🙏🏼,双手合十: 中等-浅肤色
🙏🏽,双手合十: 中等肤色
🙏🏾,双手合十: 中等-深肤色
🙏🏿,双手合十: 较深肤色
🤝,握手
🤝🏻,握手: 较浅肤色
🤝🏼,握手: 中等-浅肤色
🤝🏽,握手: 中等肤色
🤝🏾,握手: 中等-深肤色
🤝🏿,握手: 较深肤色
🤲,掌心向上托起
🤲🏻,掌心向上托起: 较浅肤色
🤲🏼,掌心向上托起: 中等-浅肤色
🤲🏽,掌心向上托起: 中等肤色
🤲🏾,掌心向上托起: 中等-深肤色
🤲🏿,掌心向上托起: 较深肤色
🫱🏻‍🫲🏼,握手: 较浅肤色中等-浅肤色
🫱🏻‍🫲🏽,握手: 较浅肤色中等肤色
🫱🏻‍🫲🏾,握手: 较浅肤色中等-深肤色
🫱🏻‍🫲🏿,握手: 较浅肤色较深肤色
🫱🏼‍🫲🏻,握手: 中等-浅肤色较浅肤色
🫱🏼‍🫲🏽,握手: 中等-浅肤色中等肤色
🫱🏼‍🫲🏾,握手: 中等-浅肤色中等-深肤色
🫱🏼‍🫲🏿,握手: 中等-浅肤色较深肤色
🫱🏽‍🫲🏻,握手: 中等肤色较浅肤色
🫱🏽‍🫲🏼,握手: 中等肤色中等-浅肤色
🫱🏽‍🫲🏾,握手: 中等肤色中等-深肤色
🫱🏽‍🫲🏿,握手: 中等肤色较深肤色
🫱🏾‍🫲🏻,握手: 中等-深肤色较浅肤色
🫱🏾‍🫲🏼,握手: 中等-深肤色中等-浅肤色
🫱🏾‍🫲🏽,握手: 中等-深肤色中等肤色
🫱🏾‍🫲🏿,握手: 中等-深肤色较深肤色
🫱🏿‍🫲🏻,握手: 较深肤色较浅肤色
🫱🏿‍🫲🏼,握手: 较深肤色中等-浅肤色
🫱🏿‍🫲🏽,握手: 较深肤色中等肤色
🫱🏿‍🫲🏾,握手: 较深肤色中等-深肤色
🫶,做成心形的双手
🫶🏻,做成心形的双手: 较浅肤色
🫶🏼,做成心形的双手: 中等-浅肤色
🫶🏽,做成心形的双手: 中等肤色
🫶🏾,做成心形的双手: 中等-深肤色
🫶🏿,做成心形的双手: 较深肤色
✍,写字
✍🏻,写字: 较浅肤色
✍🏼,写字: 中等-浅肤色
✍🏽,写字: 中等肤色
✍🏾,写字: 中等-深肤色
✍🏿,写字: 较深肤色
💅,涂指甲油
💅🏻,涂指甲油: 较浅肤色
💅🏼,涂指甲油: 中等-浅肤色
💅🏽,涂指甲油: 中等肤色
💅🏾,涂指甲油: 中等-深肤色
💅🏿,涂指甲油: 较深肤色
🤳,自拍
🤳🏻,自拍: 较浅肤色
🤳🏼,自拍: 中等-浅肤色
🤳🏽,自拍: 中等肤色
🤳🏾,自拍: 中等-深肤色
🤳🏿,自拍: 较深肤色
👀,双眼
👁,眼睛
👂,耳朵
👂🏻,耳朵: 较浅肤色
👂🏼,耳朵: 中等-浅肤色
👂🏽,耳朵: 中等肤色
👂🏾,耳朵: 中等-深肤色
👂🏿,耳朵: 较深肤色
👃,鼻子
👃🏻,鼻子: 较浅肤色
👃🏼,鼻子: 中等-浅肤色
👃🏽,鼻子: 中等肤色
👃🏾,鼻子: 中等-深肤色
👃🏿,鼻子: 较深肤色
👄,嘴
👅,舌头
💪,肌肉
💪🏻,肌肉: 较浅肤色
💪🏼,肌肉: 中等-浅肤色
💪🏽,肌肉: 中等肤色
💪🏾,肌肉: 中等-深肤色
💪🏿,肌肉: 较深肤色
🦴,骨头
🦵,腿
🦵🏻,腿: 较浅肤色
🦵🏼,腿: 中等-浅肤色
🦵🏽,腿: 中等肤色
🦵🏾,腿: 中等-深肤色
🦵🏿,腿: 较深肤色
🦶,脚
🦶🏻,脚: 较浅肤色
🦶🏼,脚: 中等-浅肤色
🦶🏽,脚: 中等肤色
🦶🏾,脚: 中等-深肤色
🦶🏿,脚: 较深肤色
🦷,牙齿
🦻,戴助听器的耳朵
🦻🏻,戴助听器的耳朵: 较浅肤色
🦻🏼,戴助听器的耳朵: 中等-浅肤色
🦻🏽,戴助听器的耳朵: 中等肤色
🦻🏾,戴助听器的耳朵: 中等-深肤色
🦻🏿,戴助听器的耳朵: 较深肤色
🦾,机械手臂
🦿,机械腿
🧠,脑
🫀,心脏器官
🫁,肺
🫦,咬住嘴唇
👦,男孩
👦🏻,男孩: 较浅肤色
👦🏼,男孩: 中等-浅肤色
👦🏽,男孩: 中等肤色
👦🏾,男孩: 中等-深肤色
👦🏿,男孩: 较深肤色
👧,女孩
👧🏻,女孩: 较浅肤色
👧🏼,女孩: 中等-浅肤色
👧🏽,女孩: 中等肤色
👧🏾,女孩: 中等-深肤色
👧🏿,女孩: 较深肤色
👨,男人
👨‍🦰,男人: 红发
👨‍🦱,男人: 卷发
👨‍🦲,男人: 秃顶
👨‍🦳,男人: 白发
👨🏻,男人: 较浅肤色
👨🏻‍🦰,男人: 较浅肤色红发
👨🏻‍🦱,男人: 较浅肤色卷发
👨🏻‍🦲,男人: 较浅肤色秃顶
👨🏻‍🦳,男人: 较浅肤色白发
👨🏼,男人: 中等-浅肤色
👨🏼‍🦰,男人: 中等-浅肤色红发
👨🏼‍🦱,男人: 中等-浅肤色卷发
👨🏼‍🦲,男人: 中等-浅肤色秃顶
👨🏼‍🦳,男人: 中等-浅肤色白发
👨🏽,男人: 中等肤色
👨🏽‍🦰,男人: 中等肤色红发
👨🏽‍🦱,男人: 中等肤色卷发
👨🏽‍🦲,男人: 中等肤色秃顶
👨🏽‍🦳,男人: 中等肤色白发
👨🏾,男人: 中等-深肤色
👨🏾‍🦰,男人: 中等-深肤色红发
👨🏾‍🦱,男人: 中等-深肤色卷发
👨🏾‍🦲,男人: 中等-深肤色秃顶
👨🏾‍🦳,男人: 中等-深肤色白发
👨🏿,男人: 较深肤色
👨🏿‍🦰,男人: 较深肤色红发
👨🏿‍🦱,男人: 较深肤色卷发
👨🏿‍🦲,男人: 较深肤色秃顶
👨🏿‍🦳,男人: 较深肤色白发
👩,女人
👩‍🦰,女人: 红发
👩‍🦱,女人: 卷发
👩‍🦲,女人: 秃顶
👩‍🦳,女人: 白发
👩🏻,女人: 较浅肤色
👩🏻‍🦰,女人: 较浅肤色红发
👩🏻‍🦱,女人: 较浅肤色卷发
👩🏻‍🦲,女人: 较浅肤色秃顶
👩🏻‍🦳,女人: 较浅肤色白发
👩🏼,女人: 中等-浅肤色
👩🏼‍🦰,女人: 中等-浅肤色红发
👩🏼‍🦱,女人: 中等-浅肤色卷发
👩🏼‍🦲,女人: 中等-浅肤色秃顶
👩🏼‍🦳,女人: 中等-浅肤色白发
👩🏽,女人: 中等肤色
👩🏽‍🦰,女人: 中等肤色红发
👩🏽‍🦱,女人: 中等肤色卷发
👩🏽‍🦲,女人: 中等肤色秃顶
👩🏽‍🦳,女人: 中等肤色白发
👩🏾,女人: 中等-深肤色
👩🏾‍🦰,女人: 中等-深肤色红发
👩🏾‍🦱,女人: 中等-深肤色卷发
👩🏾‍🦲,女人: 中等-深肤色秃顶
👩🏾‍🦳,女人: 中等-深肤色白发
👩🏿,女人: 较深肤色
👩🏿‍🦰,女人: 较深肤色红发
👩🏿‍🦱,女人: 较深肤色卷发
👩🏿‍🦲,女人: 较深肤色秃顶
👩🏿‍🦳,女人: 较深肤色白发
👱,金色头发的人
👱‍♀,金发女
👱‍♀️,女人：金色的头发
👱‍♂,金发男
👱‍♂️,男人：金色的头发
👱🏻,金色头发的人: 较浅肤色
👱🏻‍♀,金发女: 较浅肤色
👱🏻‍♀️,女人：浅肤色，金色的头发
👱🏻‍♂,金发男: 较浅肤色
👱🏻‍♂️,男人：浅肤色，金色的头发
👱🏼,金色头发的人: 中等-浅肤色
👱🏼‍♀,金发女: 中等-浅肤色
👱🏼‍♀️,女人：中浅肤色，金色的头发
👱🏼‍♂,金发男: 中等-浅肤色
👱🏼‍♂️,男人：中浅肤色，金色的头发
👱🏽,金色头发的人: 中等肤色
👱🏽‍♀,金发女: 中等肤色
👱🏽‍♀️,女人：中等肤色，金色的头发
👱🏽‍♂,金发男: 中等肤色
👱🏽‍♂️,男人：中等肤色，金色的头发
👱🏾,金色头发的人: 中等-深肤色
👱🏾‍♀,金发女: 中等-深肤色
👱🏾‍♀️,女人：中深肤色，金色的头发
👱🏾‍♂,金发男: 中等-深肤色
👱🏾‍♂️,男人：中深肤色，金色的头发
👱🏿,金色头发的人: 较深肤色
👱🏿‍♀,金发女: 较深肤色
👱🏿‍♀️,女人：深肤色，金色的头发
👱🏿‍♂,金发男: 较深肤色
👱🏿‍♂️,男人：深肤色，金色的头发
👴,老爷爷
👴🏻,老爷爷: 较浅肤色
👴🏼,老爷爷: 中等-浅肤色
👴🏽,老爷爷: 中等肤色
👴🏾,老爷爷: 中等-深肤色
👴🏿,老爷爷: 较深肤色
👵,老奶奶
👵🏻,老奶奶: 较浅肤色
👵🏼,老奶奶: 中等-浅肤色
👵🏽,老奶奶: 中等肤色
👵🏾,老奶奶: 中等-深肤色
👵🏿,老奶奶: 较深肤色
👶,小宝贝
👶🏻,小宝贝: 较浅肤色
👶🏼,小宝贝: 中等-浅肤色
👶🏽,小宝贝: 中等肤色
👶🏾,小宝贝: 中等-深肤色
👶🏿,小宝贝: 较深肤色
🧑,成人
🧑‍🦰,成人: 红发
🧑‍🦱,成人: 卷发
🧑‍🦲,成人: 秃顶
🧑‍🦳,成人: 白发
🧑🏻,成人: 较浅肤色
🧑🏻‍🦰,成人: 较浅肤色红发
🧑🏻‍🦱,成人: 较浅肤色卷发
🧑🏻‍🦲,成人: 较浅肤色秃顶
🧑🏻‍🦳,成人: 较浅肤色白发
🧑🏼,成人: 中等-浅肤色
🧑🏼‍🦰,成人: 中等-浅肤色红发
🧑🏼‍🦱,成人: 中等-浅肤色卷发
🧑🏼‍🦲,成人: 中等-浅肤色秃顶
🧑🏼‍🦳,成人: 中等-浅肤色白发
🧑🏽,成人: 中等肤色
🧑🏽‍🦰,成人: 中等肤色红发
🧑🏽‍🦱,成人: 中等肤色卷发
🧑🏽‍🦲,成人: 中等肤色秃顶
🧑🏽‍🦳,成人: 中等肤色白发
🧑🏾,成人: 中等-深肤色
🧑🏾‍🦰,成人: 中等-深肤色红发
🧑🏾‍🦱,成人: 中等-深肤色卷发
🧑🏾‍🦲,成人: 中等-深肤色秃顶
🧑🏾‍🦳,成人: 中等-深肤色白发
🧑🏿,成人: 较深肤色
🧑🏿‍🦰,成人: 较深肤色红发
🧑🏿‍🦱,成人: 较深肤色卷发
🧑🏿‍🦲,成人: 较深肤色秃顶
🧑🏿‍🦳,成人: 较深肤色白发
🧒,儿童
🧒🏻,儿童: 较浅肤色
🧒🏼,儿童: 中等-浅肤色
🧒🏽,儿童: 中等肤色
🧒🏾,儿童: 中等-深肤色
🧒🏿,儿童: 较深肤色
🧓,老年人
🧓🏻,老年人: 较浅肤色
🧓🏼,老年人: 中等-浅肤色
🧓🏽,老年人: 中等肤色
🧓🏾,老年人: 中等-深肤色
🧓🏿,老年人: 较深肤色
🧔,有胡子的人
🧔‍♀,有络腮胡子的女人
🧔‍♀️,有络腮胡子的女人
🧔‍♂,有络腮胡子的男人
🧔‍♂️,有络腮胡子的男人
🧔🏻,有胡子的人: 较浅肤色
🧔🏻‍♀,有络腮胡子的女人: 较浅肤色
🧔🏻‍♀️,有络腮胡子的女人: 较浅肤色
🧔🏻‍♂,有络腮胡子的男人: 较浅肤色
🧔🏻‍♂️,有络腮胡子的男人: 较浅肤色
🧔🏼,有胡子的人: 中等-浅肤色
🧔🏼‍♀,有络腮胡子的女人: 中等-浅肤色
🧔🏼‍♀️,有络腮胡子的女人: 中等-浅肤色
🧔🏼‍♂,有络腮胡子的男人: 中等-浅肤色
🧔🏼‍♂️,有络腮胡子的男人: 中等-浅肤色
🧔🏽,有胡子的人: 中等肤色
🧔🏽‍♀,有络腮胡子的女人: 中等肤色
🧔🏽‍♀️,有络腮胡子的女人: 中等肤色
🧔🏽‍♂,有络腮胡子的男人: 中等肤色
🧔🏽‍♂️,有络腮胡子的男人: 中等肤色
🧔🏾,有胡子的人: 中等-深肤色
🧔🏾‍♀,有络腮胡子的女人: 中等-深肤色
🧔🏾‍♀️,有络腮胡子的女人: 中等-深肤色
🧔🏾‍♂,有络腮胡子的男人: 中等-深肤色
🧔🏾‍♂️,有络腮胡子的男人: 中等-深肤色
🧔🏿,有胡子的人: 较深肤色
🧔🏿‍♀,有络腮胡子的女人: 较深肤色
🧔🏿‍♀️,有络腮胡子的女人: 较深肤色
🧔🏿‍♂,有络腮胡子的男人: 较深肤色
🧔🏿‍♂️,有络腮胡子的男人: 较深肤色
💁,前台
💁‍♀,前台女
💁‍♀️,女人举起的手
💁‍♂,前台男
💁‍♂️,男子举起的手
💁🏻,前台: 较浅肤色
💁🏻‍♀,前台女: 较浅肤色
💁🏻‍♀️,女人倾手：淡肤色
💁🏻‍♂,前台男: 较浅肤色
💁🏻‍♂️,男子倾手：浅肤色
💁🏼,前台: 中等-浅肤色
💁🏼‍♀,前台女: 中等-浅肤色
💁🏼‍♀️,女人倾手：中浅肤色
