😀,嘿嘿
💁🏼‍♂,前台男: 中等-浅肤色
💁🏼‍♂️,男士倾手：中浅肤色
💁🏽,前台: 中等肤色
💁🏽‍♀,前台女: 中等肤色
💁🏽‍♀️,女人倾手：中等肤色
💁🏽‍♂,前台男: 中等肤色
💁🏽‍♂️,男士倾手：中等肤色
💁🏾,前台: 中等-深肤色
💁🏾‍♀,前台女: 中等-深肤色
💁🏾‍♀️,女人倾手：中深肤色
💁🏾‍♂,前台男: 中等-深肤色
💁🏾‍♂️,男士倾手：中深肤色
💁🏿,前台: 较深肤色
💁🏿‍♀,前台女: 较深肤色
💁🏿‍♀️,女人倾手：深肤色
💁🏿‍♂,前台男: 较深肤色
💁🏿‍♂️,男人倾手：深肤色
🙅,禁止手势
🙅‍♀,禁止手势女
🙅‍♀️,女人打手势不同意
🙅‍♂,禁止手势男
🙅‍♂️,男人打手势不同意
🙅🏻,禁止手势: 较浅肤色
🙅🏻‍♀,禁止手势女: 较浅肤色
🙅🏻‍♀️,女人打手势不同意：浅肤色
🙅🏻‍♂,禁止手势男: 较浅肤色
🙅🏻‍♂️,男人打手势不同意：浅肤色
🙅🏼,禁止手势: 中等-浅肤色
🙅🏼‍♀,禁止手势女: 中等-浅肤色
🙅🏼‍♀️,女人打手势不同意：中浅肤色
🙅🏼‍♂,禁止手势男: 中等-浅肤色
🙅🏼‍♂️,男人打手势不同意：中浅肤色
🙅🏽,禁止手势: 中等肤色
🙅🏽‍♀,禁止手势女: 中等肤色
🙅🏽‍♀️,女人打手势不同意：中等肤色
🙅🏽‍♂,禁止手势男: 中等肤色
🙅🏽‍♂️,男人打手势不同意：中等肤色
🙅🏾,禁止手势: 中等-深肤色
🙅🏾‍♀,禁止手势女: 中等-深肤色
🙅🏾‍♀️,女人打手势不同意：中深肤色
🙅🏾‍♂,禁止手势男: 中等-深肤色
🙅🏾‍♂️,男人打手势不同意：中深肤色
🙅🏿,禁止手势: 较深肤色
🙅🏿‍♀,禁止手势女: 较深肤色
🙅🏿‍♀️,女人打手势不同意：深肤色
🙅🏿‍♂,禁止手势男: 较深肤色
🙅🏿‍♂️,男人打手势不同意：深肤色
🙆,OK手势
🙆‍♀,OK手势女
🙆‍♀️,女人打手势同意
🙆‍♂,OK手势男
🙆‍♂️,男人打手势同意
🙆🏻,OK手势: 较浅肤色
🙆🏻‍♀,OK手势女: 较浅肤色
🙆🏻‍♀️,女人打手势同意：浅肤色
🙆🏻‍♂,OK手势男: 较浅肤色
🙆🏻‍♂️,男人打手势同意：浅肤色
🙆🏼,OK手势: 中等-浅肤色
🙆🏼‍♀,OK手势女: 中等-浅肤色
🙆🏼‍♀️,女人打手势同意：中浅肤色
🙆🏼‍♂,OK手势男: 中等-浅肤色
🙆🏼‍♂️,男人打手势同意：中浅肤色
🙆🏽,OK手势: 中等肤色
🙆🏽‍♀,OK手势女: 中等肤色
🙆🏽‍♀️,女人打手势同意：中等肤色
🙆🏽‍♂,OK手势男: 中等肤色
🙆🏽‍♂️,男人打手势同意：中等肤色
🙆🏾,OK手势: 中等-深肤色
🙆🏾‍♀,OK手势女: 中等-深肤色
🙆🏾‍♀️,女人打手势同意：中深肤色
🙆🏾‍♂,OK手势男: 中等-深肤色
🙆🏾‍♂️,男子打手势同意：中深肤色
🙆🏿,OK手势: 较深肤色
🙆🏿‍♀,OK手势女: 较深肤色
🙆🏿‍♀️,女人打手势同意：深肤色
🙆🏿‍♂,OK手势男: 较深肤色
🙆🏿‍♂️,男子打手势同意：深肤色
🙇,鞠躬
🙇‍♀,女生鞠躬
🙇‍♀️,女人鞠躬
🙇‍♂,男生鞠躬
🙇‍♂️,男人鞠躬
🙇🏻,鞠躬: 较浅肤色
🙇🏻‍♀,女生鞠躬: 较浅肤色
🙇🏻‍♀️,女人鞠躬：浅肤色
🙇🏻‍♂,男生鞠躬: 较浅肤色
🙇🏻‍♂️,男人鞠躬：浅肤色
🙇🏼,鞠躬: 中等-浅肤色
🙇🏼‍♀,女生鞠躬: 中等-浅肤色
🙇🏼‍♀️,女人鞠躬：中浅肤色
🙇🏼‍♂,男生鞠躬: 中等-浅肤色
🙇🏼‍♂️,男人鞠躬：中浅肤色
🙇🏽,鞠躬: 中等肤色
🙇🏽‍♀,女生鞠躬: 中等肤色
🙇🏽‍♀️,女人鞠躬：中等肤色
🙇🏽‍♂,男生鞠躬: 中等肤色
🙇🏽‍♂️,男人鞠躬：中等肤色
🙇🏾,鞠躬: 中等-深肤色
🙇🏾‍♀,女生鞠躬: 中等-深肤色
🙇🏾‍♀️,女人鞠躬：中深肤色
🙇🏾‍♂,男生鞠躬: 中等-深肤色
🙇🏾‍♂️,男人鞠躬：中深肤色
🙇🏿,鞠躬: 较深肤色
🙇🏿‍♀,女生鞠躬: 较深肤色
🙇🏿‍♀️,女人鞠躬：深肤色
🙇🏿‍♂,男生鞠躬: 较深肤色
🙇🏿‍♂️,男人鞠躬：深肤色
🙋,举手
🙋‍♀,女生举手
🙋‍♀️,举手的女人
🙋‍♂,男生举手
🙋‍♂️,举手的男人
🙋🏻,举手: 较浅肤色
🙋🏻‍♀,女生举手: 较浅肤色
🙋🏻‍♀️,举手的女人：浅肤色
🙋🏻‍♂,男生举手: 较浅肤色
🙋🏻‍♂️,举手的男人：浅肤色
🙋🏼,举手: 中等-浅肤色
🙋🏼‍♀,女生举手: 中等-浅肤色
🙋🏼‍♀️,举手的女人：中浅肤色
🙋🏼‍♂,男生举手: 中等-浅肤色
🙋🏼‍♂️,举手的男人：中浅肤色
🙋🏽,举手: 中等肤色
🙋🏽‍♀,女生举手: 中等肤色
🙋🏽‍♀️,举手的女人：中等肤色
🙋🏽‍♂,男生举手: 中等肤色
🙋🏽‍♂️,举手的男人：中等肤色
🙋🏾,举手: 中等-深肤色
🙋🏾‍♀,女生举手: 中等-深肤色
🙋🏾‍♀️,举手的女人：中深肤色
🙋🏾‍♂,男生举手: 中等-深肤色
🙋🏾‍♂️,举手的男人：中深肤色
🙋🏿,举手: 较深肤色
🙋🏿‍♀,女生举手: 较深肤色
🙋🏿‍♀️,举手的女人：深肤色
🙋🏿‍♂,男生举手: 较深肤色
🙋🏿‍♂️,举手的男人：深肤色
🙍,皱眉
🙍‍♀,皱眉女
🙍‍♀️,女人皱着眉头
🙍‍♂,皱眉男
🙍‍♂️,皱眉的男人
🙍🏻,皱眉: 较浅肤色
🙍🏻‍♀,皱眉女: 较浅肤色
🙍🏻‍♀️,女人皱着眉头：浅肤色
🙍🏻‍♂,皱眉男: 较浅肤色
🙍🏻‍♂️,男人皱着眉头：浅肤色
🙍🏼,皱眉: 中等-浅肤色
🙍🏼‍♀,皱眉女: 中等-浅肤色
🙍🏼‍♀️,女人皱着眉头：中浅肤色
🙍🏼‍♂,皱眉男: 中等-浅肤色
🙍🏼‍♂️,男人皱着眉头：中浅肤色
🙍🏽,皱眉: 中等肤色
🙍🏽‍♀,皱眉女: 中等肤色
🙍🏽‍♀️,女人皱着眉头：中等肤色
🙍🏽‍♂,皱眉男: 中等肤色
🙍🏽‍♂️,男人皱着眉头：中等肤色
🙍🏾,皱眉: 中等-深肤色
🙍🏾‍♀,皱眉女: 中等-深肤色
🙍🏾‍♀️,女人皱着眉头：中深肤色
🙍🏾‍♂,皱眉男: 中等-深肤色
🙍🏾‍♂️,男人皱着眉头：中深肤色
🙍🏿,皱眉: 较深肤色
🙍🏿‍♀,皱眉女: 较深肤色
🙍🏿‍♀️,女人皱着眉头：深肤色
🙍🏿‍♂,皱眉男: 较深肤色
🙍🏿‍♂️,男人皱着眉头：深肤色
🙎,撅嘴
🙎‍♀,撅嘴女
🙎‍♀️,噘嘴的女人
🙎‍♂,撅嘴男
🙎‍♂️,噘嘴的男人
🙎🏻,撅嘴: 较浅肤色
🙎🏻‍♀,撅嘴女: 较浅肤色
🙎🏻‍♀️,女人噘嘴：淡肤色
🙎🏻‍♂,撅嘴男: 较浅肤色
🙎🏻‍♂️,男人噘嘴：浅肤色
🙎🏼,撅嘴: 中等-浅肤色
🙎🏼‍♀,撅嘴女: 中等-浅肤色
🙎🏼‍♀️,女人噘嘴：中浅肤色
🙎🏼‍♂,撅嘴男: 中等-浅肤色
🙎🏼‍♂️,男人噘嘴：中浅肤色
🙎🏽,撅嘴: 中等肤色
🙎🏽‍♀,撅嘴女: 中等肤色
🙎🏽‍♀️,女人噘嘴：中等肤色
🙎🏽‍♂,撅嘴男: 中等肤色
🙎🏽‍♂️,男人噘嘴：中等肤色
🙎🏾,撅嘴: 中等-深肤色
🙎🏾‍♀,撅嘴女: 中等-深肤色
🙎🏾‍♀️,女人噘嘴：中深肤色
🙎🏾‍♂,撅嘴男: 中等-深肤色
🙎🏾‍♂️,男人噘嘴：中深肤色
🙎🏿,撅嘴: 较深肤色
🙎🏿‍♀,撅嘴女: 较深肤色
🙎🏿‍♀️,女人噘嘴：深肤色
🙎🏿‍♂,撅嘴男: 较深肤色
🙎🏿‍♂️,男人噘嘴：深肤色
🤦,捂脸
🤦‍♀,女生捂脸
🤦‍♀️,女人捂脸
🤦‍♂,男生捂脸
🤦‍♂️,男人捂脸
🤦🏻,捂脸: 较浅肤色
🤦🏻‍♀,女生捂脸: 较浅肤色
🤦🏻‍♀️,女人捂脸：浅肤色
🤦🏻‍♂,男生捂脸: 较浅肤色
🤦🏻‍♂️,男人捂脸：浅肤色
🤦🏼,捂脸: 中等-浅肤色
🤦🏼‍♀,女生捂脸: 中等-浅肤色
🤦🏼‍♀️,女人捂脸：中浅肤色
🤦🏼‍♂,男生捂脸: 中等-浅肤色
🤦🏼‍♂️,男人捂脸：中浅肤色
🤦🏽,捂脸: 中等肤色
🤦🏽‍♀,女生捂脸: 中等肤色
🤦🏽‍♀️,女人捂脸：中等肤色
🤦🏽‍♂,男生捂脸: 中等肤色
🤦🏽‍♂️,男人捂脸：中等肤色
🤦🏾,捂脸: 中等-深肤色
🤦🏾‍♀,女生捂脸: 中等-深肤色
🤦🏾‍♀️,女人捂脸：中深肤色
🤦🏾‍♂,男生捂脸: 中等-深肤色
🤦🏾‍♂️,男人捂脸：中深肤色
🤦🏿,捂脸: 较深肤色
🤦🏿‍♀,女生捂脸: 较深肤色
🤦🏿‍♀️,女人捂脸：深肤色
🤦🏿‍♂,男生捂脸: 较深肤色
🤦🏿‍♂️,男人捂脸：深肤色
🤷,耸肩
🤷‍♀,女生耸肩
🤷‍♀️,女人耸肩
🤷‍♂,男生耸肩
🤷‍♂️,男人耸肩
🤷🏻,耸肩: 较浅肤色
🤷🏻‍♀,女生耸肩: 较浅肤色
🤷🏻‍♀️,女人耸肩：浅肤色
🤷🏻‍♂,男生耸肩: 较浅肤色
🤷🏻‍♂️,男人耸肩：浅肤色
🤷🏼,耸肩: 中等-浅肤色
🤷🏼‍♀,女生耸肩: 中等-浅肤色
🤷🏼‍♀️,女人耸肩：中浅肤色
🤷🏼‍♂,男生耸肩: 中等-浅肤色
🤷🏼‍♂️,男人耸肩：中浅肤色
🤷🏽,耸肩: 中等肤色
🤷🏽‍♀,女生耸肩: 中等肤色
🤷🏽‍♀️,女人耸肩：中等肤色
🤷🏽‍♂,男生耸肩: 中等肤色
🤷🏽‍♂️,男人耸肩：中等肤色
🤷🏾,耸肩: 中等-深肤色
🤷🏾‍♀,女生耸肩: 中等-深肤色
🤷🏾‍♀️,女人耸肩：中深肤色
🤷🏾‍♂,男生耸肩: 中等-深肤色
🤷🏾‍♂️,男人耸肩：中深肤色
🤷🏿,耸肩: 较深肤色
🤷🏿‍♀,女生耸肩: 较深肤色
🤷🏿‍♀️,女人耸肩：深肤色
🤷🏿‍♂,男生耸肩: 较深肤色
🤷🏿‍♂️,男人耸肩：深肤色
🧏,失聪者
🧏‍♀,失聪的女人
🧏‍♀️,聋哑女人
🧏‍♂,失聪的男人
🧏‍♂️,聋哑男人
🧏🏻,失聪者: 较浅肤色
🧏🏻‍♀,失聪的女人: 较浅肤色
🧏🏻‍♀️,聋哑女人：浅肤色
🧏🏻‍♂,失聪的男人: 较浅肤色
🧏🏻‍♂️,聋哑男人：浅肤色
🧏🏼,失聪者: 中等-浅肤色
🧏🏼‍♀,失聪的女人: 中等-浅肤色
🧏🏼‍♀️,聋哑女人：中浅肤色
🧏🏼‍♂,失聪的男人: 中等-浅肤色
🧏🏼‍♂️,聋哑男人：中浅肤色
🧏🏽,失聪者: 中等肤色
🧏🏽‍♀,失聪的女人: 中等肤色
🧏🏽‍♀️,聋哑女人：中等肤色
🧏🏽‍♂,失聪的男人: 中等肤色
🧏🏽‍♂️,聋哑男人：中等肤色
🧏🏾,失聪者: 中等-深肤色
🧏🏾‍♀,失聪的女人: 中等-深肤色
🧏🏾‍♀️,聋哑女人：中深肤色
🧏🏾‍♂,失聪的男人: 中等-深肤色
🧏🏾‍♂️,聋哑男人：中深肤色
🧏🏿,失聪者: 较深肤色
🧏🏿‍♀,失聪的女人: 较深肤色
🧏🏿‍♀️,聋哑女人：深肤色
🧏🏿‍♂,失聪的男人: 较深肤色
🧏🏿‍♂️,聋哑男人：深肤色
👨‍⚕,男医生
👨‍⚕️,男子健康工作者
👨‍⚖,男法官
👨‍⚖️,男子法官
👨‍✈,男飞行员
👨‍✈️,男子飞行员
👨‍🌾,农夫
👨‍🍳,男厨师
👨‍🍼,哺乳的男人
👨‍🎓,男学生
👨‍🎤,男歌手
👨‍🎨,男艺术家
👨‍🏫,男老师
👨‍🏭,男工人
👨‍💻,男程序员
👨‍💼,男白领
👨‍🔧,男技工
👨‍🔬,男科学家
👨‍🚀,男宇航员
👨‍🚒,男消防员
👨🏻‍⚕,男医生: 较浅肤色
👨🏻‍⚕️,男医生: 较浅肤色
👨🏻‍⚖,男法官: 较浅肤色
👨🏻‍⚖️,男人法官：浅肤色
👨🏻‍✈,男飞行员: 较浅肤色
👨🏻‍✈️,男人飞行员：浅肤色
👨🏻‍🌾,农夫: 较浅肤色
👨🏻‍🍳,男厨师: 较浅肤色
👨🏻‍🍼,哺乳的男人: 较浅肤色
👨🏻‍🎓,男学生: 较浅肤色
👨🏻‍🎤,男歌手: 较浅肤色
👨🏻‍🎨,男艺术家: 较浅肤色
👨🏻‍🏫,男老师: 较浅肤色
👨🏻‍🏭,男工人: 较浅肤色
👨🏻‍💻,男程序员: 较浅肤色
👨🏻‍💼,男白领: 较浅肤色
👨🏻‍🔧,男技工: 较浅肤色
👨🏻‍🔬,男科学家: 较浅肤色
👨🏻‍🚀,男宇航员: 较浅肤色
👨🏻‍🚒,男消防员: 较浅肤色
👨🏼‍⚕,男医生: 中等-浅肤色
👨🏼‍⚕️,男士健康工作者：中浅肤色
👨🏼‍⚖,男法官: 中等-浅肤色
👨🏼‍⚖️,男人法官：中浅肤色
👨🏼‍✈,男飞行员: 中等-浅肤色
👨🏼‍✈️,男子飞行员：中浅肤色
👨🏼‍🌾,农夫: 中等-浅肤色
👨🏼‍🍳,男厨师: 中等-浅肤色
👨🏼‍🍼,哺乳的男人: 中等-浅肤色
👨🏼‍🎓,男学生: 中等-浅肤色
👨🏼‍🎤,男歌手: 中等-浅肤色
👨🏼‍🎨,男艺术家: 中等-浅肤色
👨🏼‍🏫,男老师: 中等-浅肤色
👨🏼‍🏭,男工人: 中等-浅肤色
👨🏼‍💻,男程序员: 中等-浅肤色
👨🏼‍💼,男白领: 中等-浅肤色
👨🏼‍🔧,男技工: 中等-浅肤色
👨🏼‍🔬,男科学家: 中等-浅肤色
👨🏼‍🚀,男宇航员: 中等-浅肤色
👨🏼‍🚒,男消防员: 中等-浅肤色
👨🏽‍⚕,男医生: 中等肤色
👨🏽‍⚕️,男性健康工作者：中等肤色
👨🏽‍⚖,男法官: 中等肤色
👨🏽‍⚖️,男人法官：中等肤色
👨🏽‍✈,男飞行员: 中等肤色
👨🏽‍✈️,男子飞行员：中等肤色
👨🏽‍🌾,农夫: 中等肤色
👨🏽‍🍳,男厨师: 中等肤色
👨🏽‍🍼,哺乳的男人: 中等肤色
👨🏽‍🎓,男学生: 中等肤色
👨🏽‍🎤,男歌手: 中等肤色
👨🏽‍🎨,男艺术家: 中等肤色
👨🏽‍🏫,男老师: 中等肤色
👨🏽‍🏭,男工人: 中等肤色
👨🏽‍💻,男程序员: 中等肤色
👨🏽‍💼,男白领: 中等肤色
👨🏽‍🔧,男技工: 中等肤色
👨🏽‍🔬,男科学家: 中等肤色
👨🏽‍🚀,男宇航员: 中等肤色
👨🏽‍🚒,男消防员: 中等肤色
👨🏾‍⚕,男医生: 中等-深肤色
👨🏾‍⚕️,男性健康工作者：中深肤色
👨🏾‍⚖,男法官: 中等-深肤色
👨🏾‍⚖️,男人法官：中深肤色
👨🏾‍✈,男飞行员: 中等-深肤色
👨🏾‍✈️,男子飞行员：中深肤色
👨🏾‍🌾,农夫: 中等-深肤色
👨🏾‍🍳,男厨师: 中等-深肤色
👨🏾‍🍼,哺乳的男人: 中等-深肤色
👨🏾‍🎓,男学生: 中等-深肤色
👨🏾‍🎤,男歌手: 中等-深肤色
👨🏾‍🎨,男艺术家: 中等-深肤色
👨🏾‍🏫,男老师: 中等-深肤色
👨🏾‍🏭,男工人: 中等-深肤色
👨🏾‍💻,男程序员: 中等-深肤色
👨🏾‍💼,男白领: 中等-深肤色
👨🏾‍🔧,男技工: 中等-深肤色
👨🏾‍🔬,男科学家: 中等-深肤色
👨🏾‍🚀,男宇航员: 中等-深肤色
👨🏾‍🚒,男消防员: 中等-深肤色
👨🏿‍⚕,男医生: 较深肤色
👨🏿‍⚕️,男性健康工作者：深肤色
👨🏿‍⚖,男法官: 较深肤色
👨🏿‍⚖️,男子法官：深肤色
👨🏿‍✈,男飞行员: 较深肤色
👨🏿‍✈️,男子飞行员：深肤色
👨🏿‍🌾,农夫: 较深肤色
👨🏿‍🍳,男厨师: 较深肤色
👨🏿‍🍼,哺乳的男人: 较深肤色
👨🏿‍🎓,男学生: 较深肤色
👨🏿‍🎤,男歌手: 较深肤色
👨🏿‍🎨,男艺术家: 较深肤色
👨🏿‍🏫,男老师: 较深肤色
👨🏿‍🏭,男工人: 较深肤色
👨🏿‍💻,男程序员: 较深肤色
👨🏿‍💼,男白领: 较深肤色
👨🏿‍🔧,男技工: 较深肤色
👨🏿‍🔬,男科学家: 较深肤色
👨🏿‍🚀,男宇航员: 较深肤色
👨🏿‍🚒,男消防员: 较深肤色
👩‍⚕,女医生
👩‍⚕️,女卫生工作者
👩‍⚖,女法官
👩‍⚖️,女法官
👩‍✈,女飞行员
👩‍✈️,女飞行员
👩‍🌾,农妇
👩‍🍳,女厨师
👩‍🍼,哺乳的女人
👩‍🎓,女学生
👩‍🎤,女歌手
👩‍🎨,女艺术家
👩‍🏫,女老师
👩‍🏭,女工人
👩‍💻,女程序员
👩‍💼,女白领
👩‍🔧,女技工
👩‍🔬,女科学家
👩‍🚀,女宇航员
👩‍🚒,女消防员
👩🏻‍⚕,女医生: 较浅肤色
👩🏻‍⚕️,女性健康工作者：浅肤色
👩🏻‍⚖,女法官: 较浅肤色
👩🏻‍⚖️,女法官：浅肤色
👩🏻‍✈,女飞行员: 较浅肤色
👩🏻‍✈️,女飞行员：浅肤色
👩🏻‍🌾,农妇: 较浅肤色
👩🏻‍🍳,女厨师: 较浅肤色
👩🏻‍🍼,哺乳的女人: 较浅肤色
👩🏻‍🎓,女学生: 较浅肤色
👩🏻‍🎤,女歌手: 较浅肤色
👩🏻‍🎨,女艺术家: 较浅肤色
👩🏻‍🏫,女老师: 较浅肤色
👩🏻‍🏭,女工人: 较浅肤色
👩🏻‍💻,女程序员: 较浅肤色
👩🏻‍💼,女白领: 较浅肤色
👩🏻‍🔧,女技工: 较浅肤色
👩🏻‍🔬,女科学家: 较浅肤色
👩🏻‍🚀,女宇航员: 较浅肤色
👩🏻‍🚒,女消防员: 较浅肤色
👩🏼‍⚕,女医生: 中等-浅肤色
👩🏼‍⚕️,女性健康工作者：中浅肤色
👩🏼‍⚖,女法官: 中等-浅肤色
👩🏼‍⚖️,女法官：中浅肤色
👩🏼‍✈,女飞行员: 中等-浅肤色
👩🏼‍✈️,女飞行员：中浅肤色
👩🏼‍🌾,农妇: 中等-浅肤色
👩🏼‍🍳,女厨师: 中等-浅肤色
👩🏼‍🍼,哺乳的女人: 中等-浅肤色
👩🏼‍🎓,女学生: 中等-浅肤色
👩🏼‍🎤,女歌手: 中等-浅肤色
👩🏼‍🎨,女艺术家: 中等-浅肤色
👩🏼‍🏫,女老师: 中等-浅肤色
👩🏼‍🏭,女工人: 中等-浅肤色
👩🏼‍💻,女程序员: 中等-浅肤色
👩🏼‍💼,女白领: 中等-浅肤色
👩🏼‍🔧,女技工: 中等-浅肤色
👩🏼‍🔬,女科学家: 中等-浅肤色
👩🏼‍🚀,女宇航员: 中等-浅肤色
👩🏼‍🚒,女消防员: 中等-浅肤色
👩🏽‍⚕,女医生: 中等肤色
👩🏽‍⚕️,女性健康工作者：中等肤色
👩🏽‍⚖,女法官: 中等肤色
👩🏽‍⚖️,女法官：中等肤色
👩🏽‍✈,女飞行员: 中等肤色
👩🏽‍✈️,女飞行员：中等肤色
👩🏽‍🌾,农妇: 中等肤色
👩🏽‍🍳,女厨师: 中等肤色
👩🏽‍🍼,哺乳的女人: 中等肤色
👩🏽‍🎓,女学生: 中等肤色
👩🏽‍🎤,女歌手: 中等肤色
👩🏽‍🎨,女艺术家: 中等肤色
👩🏽‍🏫,女老师: 中等肤色
👩🏽‍🏭,女工人: 中等肤色
👩🏽‍💻,女程序员: 中等肤色
👩🏽‍💼,女白领: 中等肤色
👩🏽‍🔧,女技工: 中等肤色
👩🏽‍🔬,女科学家: 中等肤色
👩🏽‍🚀,女宇航员: 中等肤色
👩🏽‍🚒,女消防员: 中等肤色
👩🏾‍⚕,女医生: 中等-深肤色
👩🏾‍⚕️,女性健康工作者：中深肤色
👩🏾‍⚖,女法官: 中等-深肤色
👩🏾‍⚖️,女法官：中深肤色
👩🏾‍✈,女飞行员: 中等-深肤色
👩🏾‍✈️,女飞行员：中深肤色
👩🏾‍🌾,农妇: 中等-深肤色
👩🏾‍🍳,女厨师: 中等-深肤色
👩🏾‍🍼,哺乳的女人: 中等-深肤色
👩🏾‍🎓,女学生: 中等-深肤色
👩🏾‍🎤,女歌手: 中等-深肤色
👩🏾‍🎨,女艺术家: 中等-深肤色
👩🏾‍🏫,女老师: 中等-深肤色
👩🏾‍🏭,女工人: 中等-深肤色
👩🏾‍💻,女程序员: 中等-深肤色
👩🏾‍💼,女白领: 中等-深肤色
👩🏾‍🔧,女技工: 中等-深肤色
👩🏾‍🔬,女科学家: 中等-深肤色
👩🏾‍🚀,女宇航员: 中等-深肤色
👩🏾‍🚒,女消防员: 中等-深肤色
👩🏿‍⚕,女医生: 较深肤色
👩🏿‍⚕️,女性健康工作者：深肤色
👩🏿‍⚖,女法官: 较深肤色
👩🏿‍⚖️,女法官：深肤色
👩🏿‍✈,女飞行员: 较深肤色
👩🏿‍✈️,女飞行员：深肤色
👩🏿‍🌾,农妇: 较深肤色
👩🏿‍🍳,女厨师: 较深肤色
👩🏿‍🍼,哺乳的女人: 较深肤色
👩🏿‍🎓,女学生: 较深肤色
👩🏿‍🎤,女歌手: 较深肤色
👩🏿‍🎨,女艺术家: 较深肤色
👩🏿‍🏫,女老师: 较深肤色
👩🏿‍🏭,女工人: 较深肤色
👩🏿‍💻,女程序员: 较深肤色
👩🏿‍💼,女白领: 较深肤色
👩🏿‍🔧,女技工: 较深肤色
👩🏿‍🔬,女科学家: 较深肤色
👩🏿‍🚀,女宇航员: 较深肤色
👩🏿‍🚒,女消防员: 较深肤色
👮,警察
👮‍♀,女警察
👮‍♀️,女警官
👮‍♂,男警察
👮‍♂️,男警官
👮🏻,警察: 较浅肤色
👮🏻‍♀,女警察: 较浅肤色
👮🏻‍♀️,女警官：浅肤色
👮🏻‍♂,男警察: 较浅肤色
👮🏻‍♂️,男警官：浅肤色
👮🏼,警察: 中等-浅肤色
👮🏼‍♀,女警察: 中等-浅肤色
👮🏼‍♀️,女警官：中浅肤色
👮🏼‍♂,男警察: 中等-浅肤色
👮🏼‍♂️,男警察: 中等-浅肤色
👮🏽,警察: 中等肤色
👮🏽‍♀,女警察: 中等肤色
👮🏽‍♀️,女警察: 中等肤色
👮🏽‍♂,男警察: 中等肤色
👮🏽‍♂️,男警官：中等肤色
👮🏾,警察: 中等-深肤色
👮🏾‍♀,女警察: 中等-深肤色
👮🏾‍♀️,女警官：中深肤色
👮🏾‍♂,男警察: 中等-深肤色
👮🏾‍♂️,男警官：中深肤色
👮🏿,警察: 较深肤色
👮🏿‍♀,女警察: 较深肤色
👮🏿‍♀️,女警察: 较深肤色
👮🏿‍♂,男警察: 较深肤色
👮🏿‍♂️,男警察: 较深肤色
👰,戴头纱的人
👰‍♀,戴头纱的女人
👰‍♀️,戴头纱的女人
👰‍♂,戴头纱的男人
👰‍♂️,戴头纱的男人
👰🏻,戴头纱的人: 较浅肤色
👰🏻‍♀,戴头纱的女人: 较浅肤色
👰🏻‍♀️,戴头纱的女人: 较浅肤色
👰🏻‍♂,戴头纱的男人: 较浅肤色
👰🏻‍♂️,戴头纱的男人: 较浅肤色
👰🏼,戴头纱的人: 中等-浅肤色
👰🏼‍♀,戴头纱的女人: 中等-浅肤色
👰🏼‍♀️,戴头纱的女人: 中等-浅肤色
👰🏼‍♂,戴头纱的男人: 中等-浅肤色
👰🏼‍♂️,戴头纱的男人: 中等-浅肤色
👰🏽,戴头纱的人: 中等肤色
👰🏽‍♀,戴头纱的女人: 中等肤色
👰🏽‍♀️,戴头纱的女人: 中等肤色
👰🏽‍♂,戴头纱的男人: 中等肤色
